code,year,month,day,value
A_0_0_0,1997,9,20,0
A_0_0_0,1997,9,21,0
A_0_0_0,1997,9,22,0
A_0_0_0,1997,9,23,0
A_0_0_0,1997,9,24,0
A_0_0_0,1997,9,25,0
A_0_0_0,1997,9,26,0
A_0_0_0,1997,9,27,0
A_0_0_0,1997,9,28,0
A_0_0_0,1997,9,29,0
A_0_0_0,1997,9,30,9.6
A_0_0_0,1997,10,1,3.6
A_0_0_0,1997,10,2,0
A_0_0_0,1997,10,3,0
A_0_0_0,1997,10,4,0
A_0_0_0,1997,10,5,0
A_0_0_0,1997,10,6,9.6
A_0_0_0,1997,10,7,1.5
A_0_0_0,1997,10,8,19.8
A_0_0_0,1997,10,9,18.5
A_0_0_0,1997,10,10,6.8
A_0_0_0,1997,10,11,2.8
A_0_0_0,1997,10,12,2.4
A_0_0_0,1997,10,13,8.1
A_0_0_0,1997,10,14,10.3
A_0_0_0,1997,10,15,0
A_0_0_0,1997,10,16,0.6
A_0_0_0,1997,10,17,0
A_0_0_0,1997,10,18,0
A_0_0_0,1997,10,19,0
A_0_0_0,1997,10,20,0
A_0_0_0,1997,10,21,0
A_0_0_0,1997,10,22,0
A_0_0_0,1997,10,23,0
A_0_0_0,1997,10,24,0.7
A_0_0_0,1997,10,25,1.6
A_0_0_0,1997,10,26,2.8
A_0_0_0,1997,10,27,0
A_0_0_0,1997,10,28,0
A_0_0_0,1997,10,29,0
A_0_0_0,1997,10,30,0
A_0_0_0,1997,10,31,0
A_0_0_0,1997,11,1,0.1
A_0_0_0,1997,11,2,0
A_0_0_0,1997,11,3,0.1
A_0_0_0,1997,11,4,2.1
A_0_0_0,1997,11,5,1.5
A_0_0_0,1997,11,6,6.1
A_0_0_0,1997,11,7,1.5
A_0_0_0,1997,11,8,2.5
A_0_0_0,1997,11,9,0.3
A_0_0_0,1997,11,10,1.7
A_0_0_0,1997,11,11,0.1
A_0_0_0,1997,11,12,0
A_0_0_0,1997,11,13,0
A_0_0_0,1997,11,14,1.5
A_0_0_0,1997,11,15,4.1
A_0_0_0,1997,11,16,0
A_0_0_0,1997,11,17,0
A_0_0_0,1997,11,18,0
A_0_0_0,1997,11,19,5.3
A_0_0_0,1997,11,20,3.9
A_0_0_0,1997,11,21,0
A_0_0_0,1997,11,22,0
A_0_0_0,1997,11,23,0
A_0_0_0,1997,11,24,0
A_0_0_0,1997,11,25,0
A_0_0_0,1997,11,26,2.3
A_0_0_0,1997,11,27,6.8
A_0_0_0,1997,11,28,4
A_0_0_0,1997,11,29,0.4
A_0_0_0,1997,11,30,2.1
A_0_0_0,1997,12,1,0.3
A_0_0_0,1997,12,2,0
A_0_0_0,1997,12,3,0
A_0_0_0,1997,12,4,0.8
A_0_0_0,1997,12,5,0
A_0_0_0,1997,12,6,4.5
A_0_0_0,1997,12,7,0
A_0_0_0,1997,12,8,0
A_0_0_0,1997,12,9,15.5
A_0_0_0,1997,12,10,13.2
A_0_0_0,1997,12,11,3.4
A_0_0_0,1997,12,12,0
A_0_0_0,1997,12,13,0
A_0_0_0,1997,12,14,0.1
A_0_0_0,1997,12,15,0
A_0_0_0,1997,12,16,0
A_0_0_0,1997,12,17,0
A_0_0_0,1997,12,18,1.3
A_0_0_0,1997,12,19,0.5
A_0_0_0,1997,12,20,0
A_0_0_0,1997,12,21,0
A_0_0_0,1997,12,22,0
A_0_0_0,1997,12,23,7.4
A_0_0_0,1997,12,24,5.2
A_0_0_0,1997,12,25,4.8
A_0_0_0,1997,12,26,5.5
A_0_0_0,1997,12,27,2.6
A_0_0_0,1997,12,28,9.2
A_0_0_0,1997,12,29,0.9
A_0_0_0,1997,12,30,1.3
A_0_0_0,1997,12,31,1
A_0_0_0,1998,1,1,4.8
A_0_0_0,1998,1,2,8.9
A_0_0_0,1998,1,3,17.5
A_0_0_0,1998,1,4,6.5
A_0_0_0,1998,1,5,9.2
A_0_0_0,1998,1,6,9.7
A_0_0_0,1998,1,7,5.2
A_0_0_0,1998,1,8,3.8
A_0_0_0,1998,1,9,0.5
A_0_0_0,1998,1,10,0
A_0_0_0,1998,1,11,0
A_0_0_0,1998,1,12,0
A_0_0_0,1998,1,13,0
A_0_0_0,1998,1,14,1.2
A_0_0_0,1998,1,15,1.8
A_0_0_0,1998,1,16,2.1
A_0_0_0,1998,1,17,0.2
A_0_0_0,1998,1,18,15.2
A_0_0_0,1998,1,19,3.7
A_0_0_0,1998,1,20,0.2
A_0_0_0,1998,1,21,0
A_0_0_0,1998,1,22,0
A_0_0_0,1998,1,23,0.2
A_0_0_0,1998,1,24,0
A_0_0_0,1998,1,25,0
A_0_0_0,1998,1,26,0
A_0_0_0,1998,1,27,0
A_0_0_0,1998,1,28,2.6
A_0_0_0,1998,1,29,0.5
A_0_0_0,1998,1,30,0.4
A_0_0_0,1998,1,31,0
A_0_0_0,1998,2,1,0
A_0_0_0,1998,2,2,3.3
A_0_0_0,1998,2,3,0
A_0_0_0,1998,2,4,0
A_0_0_0,1998,2,5,0
A_0_0_0,1998,2,6,0
A_0_0_0,1998,2,7,2.1
A_0_0_0,1998,2,8,0
A_0_0_0,1998,2,9,0
A_0_0_0,1998,2,10,0
A_0_0_0,1998,2,11,0
A_0_0_0,1998,2,12,0
A_0_0_0,1998,2,13,0
A_0_0_0,1998,2,14,0
A_0_0_0,1998,2,15,0
A_0_0_0,1998,2,16,0.7
A_0_0_0,1998,2,17,0
A_0_0_0,1998,2,18,0
A_0_0_0,1998,2,19,0
A_0_0_0,1998,2,20,0
A_0_0_0,1998,2,21,4.4
A_0_0_0,1998,2,22,0.4
A_0_0_0,1998,2,23,2
A_0_0_0,1998,2,24,0
