bakje,jaar,maand,dag,berging,afstroming,netto drainage,kwel,netto neerslag
verhard,1996,5,25,852.224100,0.000000,-365.238900,365.238900,-1582.701900
verhard,1996,5,26,2434.926000,-2800.164900,-365.238900,365.238900,4382.866800
verhard,1996,5,27,1217.463000,0.000000,-365.238900,365.238900,-1217.463000
verhard,1996,5,28,0.000000,0.000000,-365.238900,365.238900,-4626.359400
verhard,1996,5,29,0.000000,0.000000,-365.238900,365.238900,-3287.150100
verhard,1996,5,30,0.000000,0.000000,-365.238900,365.238900,-5478.583500
verhard,1996,5,31,0.000000,0.000000,-365.238900,365.238900,-5965.568700
verhard,1996,6,1,0.000000,0.000000,-365.238900,365.238900,-4991.598300
verhard,1996,6,2,0.000000,0.000000,-365.238900,365.238900,-5113.344600
verhard,1996,6,3,0.000000,0.000000,-365.238900,365.238900,-5356.837200
verhard,1996,6,4,0.000000,0.000000,-365.238900,365.238900,-4017.627900
verhard,1996,6,5,0.000000,0.000000,-365.238900,365.238900,-6087.315000
verhard,1996,6,6,0.000000,0.000000,-365.238900,365.238900,-6330.807600
verhard,1996,6,7,0.000000,0.000000,-365.238900,365.238900,-5965.568700
verhard,1996,6,8,1339.209300,0.000000,-365.238900,365.238900,1339.209300
verhard,1996,6,9,0.000000,0.000000,-365.238900,365.238900,-1704.448200
verhard,1996,6,10,2434.926000,-2921.911200,-365.238900,365.238900,5356.837200
verhard,1996,6,11,0.000000,0.000000,-365.238900,365.238900,-6330.807600
verhard,1996,6,12,0.000000,0.000000,-365.238900,365.238900,-5113.344600
verhard,1996,6,13,0.000000,0.000000,-365.238900,365.238900,-5478.583500
verhard,1996,6,14,0.000000,0.000000,-365.238900,365.238900,-3408.896400
verhard,1996,6,15,0.000000,0.000000,-365.238900,365.238900,-5722.076100
verhard,1996,6,16,0.000000,0.000000,-365.238900,365.238900,-5722.076100
verhard,1996,6,17,0.000000,0.000000,-365.238900,365.238900,-6087.315000
verhard,1996,6,18,0.000000,0.000000,-365.238900,365.238900,-4748.105700
verhard,1996,6,19,0.000000,0.000000,-365.238900,365.238900,-2191.433400
verhard,1996,6,20,0.000000,0.000000,-365.238900,365.238900,-2434.926000
verhard,1996,6,21,0.000000,0.000000,-365.238900,365.238900,-1217.463000
verhard,1996,6,22,0.000000,0.000000,-365.238900,365.238900,-1460.955600
verhard,1996,6,23,0.000000,0.000000,-365.238900,365.238900,-1217.463000
verhard,1996,6,24,0.000000,0.000000,-365.238900,365.238900,-852.224100
verhard,1996,6,25,0.000000,0.000000,-365.238900,365.238900,-1217.463000
verhard,1996,6,26,0.000000,0.000000,-365.238900,365.238900,-4382.866800
verhard,1996,6,27,0.000000,0.000000,-365.238900,365.238900,-2800.164900
verhard,1996,6,28,2434.926000,-16922.735700,-365.238900,365.238900,19357.661700
verhard,1996,6,29,2434.926000,-3774.135300,-365.238900,365.238900,3774.135300
verhard,1996,6,30,2434.926000,-4382.866800,-365.238900,365.238900,4382.866800
verhard,1996,7,1,0.000000,0.000000,-365.238900,365.238900,-2556.672300
verhard,1996,7,2,0.000000,0.000000,-365.238900,365.238900,-3774.135300
verhard,1996,7,3,2434.926000,-3165.403800,-365.238900,365.238900,5600.329800
verhard,1996,7,4,0.000000,0.000000,-365.238900,365.238900,-4626.359400
verhard,1996,7,5,2434.926000,-10957.167000,-365.238900,365.238900,13392.093000
verhard,1996,7,6,2434.926000,-6817.792800,-365.238900,365.238900,6817.792800
verhard,1996,7,7,121.746300,0.000000,-365.238900,365.238900,-2313.179700
verhard,1996,7,8,0.000000,0.000000,-365.238900,365.238900,-2921.911200
verhard,1996,7,9,2434.926000,-1217.463000,-365.238900,365.238900,3652.389000
verhard,1996,7,10,0.000000,0.000000,-365.238900,365.238900,-2434.926000
verhard,1996,7,11,0.000000,0.000000,-365.238900,365.238900,-5113.344600
verhard,1996,7,12,0.000000,0.000000,-365.238900,365.238900,-4626.359400
verhard,1996,7,13,0.000000,0.000000,-365.238900,365.238900,-2556.672300
verhard,1996,7,14,0.000000,0.000000,-365.238900,365.238900,-1460.955600
verhard,1996,7,15,0.000000,0.000000,-365.238900,365.238900,-4626.359400
verhard,1996,7,16,0.000000,0.000000,-365.238900,365.238900,-4382.866800
verhard,1996,7,17,0.000000,0.000000,-365.238900,365.238900,-5235.090900
verhard,1996,7,18,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,7,19,0.000000,0.000000,-365.238900,365.238900,-4261.120500
verhard,1996,7,20,0.000000,0.000000,-365.238900,365.238900,-5722.076100
verhard,1996,7,21,0.000000,0.000000,-365.238900,365.238900,-5722.076100
verhard,1996,7,22,0.000000,0.000000,-365.238900,365.238900,-5843.822400
verhard,1996,7,23,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,7,24,2434.926000,-8887.479900,-365.238900,365.238900,11322.405900
verhard,1996,7,25,973.970400,0.000000,-365.238900,365.238900,-1460.955600
verhard,1996,7,26,0.000000,0.000000,-365.238900,365.238900,-5356.837200
verhard,1996,7,27,0.000000,0.000000,-365.238900,365.238900,-973.970400
verhard,1996,7,28,0.000000,0.000000,-365.238900,365.238900,-3530.642700
verhard,1996,7,29,0.000000,0.000000,-365.238900,365.238900,-4382.866800
verhard,1996,7,30,0.000000,0.000000,-365.238900,365.238900,-3043.657500
verhard,1996,7,31,0.000000,0.000000,-365.238900,365.238900,-1704.448200
verhard,1996,8,1,0.000000,0.000000,-365.238900,365.238900,-3043.657500
verhard,1996,8,2,0.000000,0.000000,-365.238900,365.238900,-4991.598300
verhard,1996,8,3,0.000000,0.000000,-365.238900,365.238900,-4017.627900
verhard,1996,8,4,0.000000,0.000000,-365.238900,365.238900,-5113.344600
verhard,1996,8,5,0.000000,0.000000,-365.238900,365.238900,-5722.076100
verhard,1996,8,6,2069.687100,0.000000,-365.238900,365.238900,2069.687100
verhard,1996,8,7,486.985200,0.000000,-365.238900,365.238900,-1582.701900
verhard,1996,8,8,0.000000,0.000000,-365.238900,365.238900,-4139.374200
verhard,1996,8,9,0.000000,0.000000,-365.238900,365.238900,-3895.881600
verhard,1996,8,10,0.000000,0.000000,-365.238900,365.238900,-852.224100
verhard,1996,8,11,2434.926000,-1460.955600,-365.238900,365.238900,3895.881600
verhard,1996,8,12,2434.926000,-14853.048600,-365.238900,365.238900,14853.048600
verhard,1996,8,13,1217.463000,0.000000,-365.238900,365.238900,-1217.463000
verhard,1996,8,14,0.000000,0.000000,-365.238900,365.238900,-2800.164900
verhard,1996,8,15,0.000000,0.000000,-365.238900,365.238900,-2921.911200
verhard,1996,8,16,0.000000,0.000000,-365.238900,365.238900,-2069.687100
verhard,1996,8,17,0.000000,0.000000,-365.238900,365.238900,-3774.135300
verhard,1996,8,18,0.000000,0.000000,-365.238900,365.238900,-4626.359400
verhard,1996,8,19,0.000000,0.000000,-365.238900,365.238900,-4991.598300
verhard,1996,8,20,0.000000,0.000000,-365.238900,365.238900,-4626.359400
verhard,1996,8,21,973.970400,0.000000,-365.238900,365.238900,973.970400
verhard,1996,8,22,0.000000,0.000000,-365.238900,365.238900,-4139.374200
verhard,1996,8,23,1704.448200,0.000000,-365.238900,365.238900,1704.448200
verhard,1996,8,24,2434.926000,-2191.433400,-365.238900,365.238900,2921.911200
verhard,1996,8,25,2434.926000,-5356.837200,-365.238900,365.238900,5356.837200
verhard,1996,8,26,0.000000,0.000000,-365.238900,365.238900,-3408.896400
verhard,1996,8,27,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,8,28,2434.926000,-11931.137400,-365.238900,365.238900,14366.063400
verhard,1996,8,29,2434.926000,-2191.433400,-365.238900,365.238900,2191.433400
verhard,1996,8,30,2434.926000,-852.224100,-365.238900,365.238900,852.224100
verhard,1996,8,31,852.224100,0.000000,-365.238900,365.238900,-1582.701900
verhard,1996,9,1,0.000000,0.000000,-365.238900,365.238900,-3043.657500
verhard,1996,9,2,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,9,3,0.000000,0.000000,-365.238900,365.238900,-3287.150100
verhard,1996,9,4,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,9,5,0.000000,0.000000,-365.238900,365.238900,-3774.135300
verhard,1996,9,6,0.000000,0.000000,-365.238900,365.238900,-3043.657500
verhard,1996,9,7,0.000000,0.000000,-365.238900,365.238900,-3287.150100
verhard,1996,9,8,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,9,9,0.000000,0.000000,-365.238900,365.238900,-2191.433400
verhard,1996,9,10,486.985200,0.000000,-365.238900,365.238900,486.985200
verhard,1996,9,11,2434.926000,-4869.852000,-365.238900,365.238900,6817.792800
verhard,1996,9,12,2434.926000,-608.731500,-365.238900,365.238900,608.731500
verhard,1996,9,13,2434.926000,-1095.716700,-365.238900,365.238900,1095.716700
verhard,1996,9,14,852.224100,0.000000,-365.238900,365.238900,-1582.701900
verhard,1996,9,15,0.000000,0.000000,-365.238900,365.238900,-1460.955600
verhard,1996,9,16,0.000000,0.000000,-365.238900,365.238900,-2800.164900
verhard,1996,9,17,0.000000,0.000000,-365.238900,365.238900,-3165.403800
verhard,1996,9,18,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,9,19,0.000000,0.000000,-365.238900,365.238900,-1582.701900
verhard,1996,9,20,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,9,21,0.000000,0.000000,-365.238900,365.238900,-2313.179700
verhard,1996,9,22,2434.926000,-3895.881600,-365.238900,365.238900,6330.807600
verhard,1996,9,23,1582.701900,0.000000,-365.238900,365.238900,-852.224100
verhard,1996,9,24,0.000000,0.000000,-365.238900,365.238900,-1947.940800
verhard,1996,9,25,0.000000,0.000000,-365.238900,365.238900,-243.492600
